telecom_partner,Age_Group,Total_Customers,Churned_Customers,Churn_Rate
Airtel,35-44,10647,2276,21.37691368460599
BSNL,65+,10724,2215,20.65460649011563
Reliance Jio,55-64,10674,2184,20.460933108487914
Airtel,55-64,10806,2210,20.45160096242828
Vodafone,Under 25,7473,1524,20.39341629867523
Airtel,25-34,10440,2122,20.325670498084293
BSNL,45-54,10719,2172,20.26308424293311
Vodafone,25-34,10501,2125,20.236167984001522
Reliance Jio,45-54,10659,2144,20.114457266160052
Airtel,65+,10755,2162,20.102278010227803
Reliance Jio,25-34,10790,2167,20.083410565338276
Vodafone,55-64,10738,2153,20.050288694356492
Airtel,Under 25,7548,1513,20.045045045045047
BSNL,35-44,10652,2129,19.98685692827638
Vodafone,65+,10649,2120,19.90797257958494
Reliance Jio,35-44,10701,2126,19.867302121297076
Reliance Jio,Under 25,7482,1485,19.847634322373697
Airtel,45-54,10709,2121,19.805770846951162
Vodafone,35-44,10710,2117,19.76657329598506
Reliance Jio,65+,10817,2128,19.672737357862623
BSNL,Under 25,7371,1450,19.671686338353005
Vodafone,45-54,10731,2090,19.476283664150593
BSNL,25-34,10524,2037,19.3557582668187
BSNL,55-64,10733,2057,19.165191465573464
