telecom_partner,Salary_Group,Total_Customers,Churned_Customers,Churned_Rate
Airtel,High Salary,23440,4797,20.465017064846418
Airtel,Low Salary,14028,2857,20.366410037068718
Vodafone,Low Salary,13901,2828,20.34386015394576
Airtel,Medium Salary,23437,4750,20.267099031446005
Reliance Jio,Medium Salary,23437,4748,20.258565516064344
Vodafone,Medium Salary,23489,4735,20.15837200391673
BSNL,Medium Salary,23367,4691,20.075319895579234
BSNL,Low Salary,14034,2799,19.94442069260368
Reliance Jio,Low Salary,14166,2815,19.871523365805448
Reliance Jio,High Salary,23520,4671,19.85969387755102
BSNL,High Salary,23322,4570,19.59523196981391
Vodafone,High Salary,23412,4566,19.502819067145055
