telecom_partner,state,Total_Customers,Churned_Customers,Churn_Rate_Percentage
Reliance Jio,Jharkhand,2184,507,23.214285714285715
Vodafone,Madhya Pradesh,2136,483,22.6123595505618
Airtel,Himachal Pradesh,2167,488,22.519612367328104
Airtel,Mizoram,2113,471,22.29058211074302
Airtel,Assam,2113,459,21.72266919072409
Airtel,Rajasthan,2214,479,21.63504968383017
Airtel,Uttarakhand,2196,472,21.493624772313296
Vodafone,Jharkhand,2194,468,21.330902461257978
Reliance Jio,Manipur,2130,453,21.267605633802816
Reliance Jio,Uttar Pradesh,2194,466,21.23974475843209
BSNL,Uttarakhand,2128,450,21.146616541353385
Vodafone,Uttar Pradesh,2221,469,21.116614137775777
Reliance Jio,Karnataka,2244,473,21.07843137254902
Vodafone,Telangana,2148,452,21.042830540037244
Vodafone,Himachal Pradesh,2199,461,20.964074579354254
Airtel,Karnataka,2239,469,20.94685127288968
BSNL,Rajasthan,2206,459,20.806890299184044
Reliance Jio,Andhra Pradesh,2178,453,20.798898071625345
BSNL,Gujarat,2217,461,20.79386558412269
Airtel,Nagaland,2129,442,20.760920620009394
BSNL,Karnataka,2168,448,20.66420664206642
Reliance Jio,Gujarat,2131,440,20.647583294228063
Airtel,Goa,2175,449,20.64367816091954
BSNL,Mizoram,2191,452,20.629849383842995
Airtel,Maharashtra,2202,454,20.617620345140782
Reliance Jio,Tripura,2161,445,20.59231837112448
Reliance Jio,Odisha,2113,435,20.586843350686227
Airtel,Tamil Nadu,2202,453,20.572207084468666
Reliance Jio,Bihar,2161,444,20.546043498380378
Airtel,Punjab,2227,457,20.5208801077683
BSNL,Meghalaya,2214,454,20.50587172538392
Airtel,Arunachal Pradesh,2213,453,20.469950293718934
BSNL,Odisha,2214,452,20.41553748870822
Vodafone,Mizoram,2192,447,20.392335766423358
BSNL,Nagaland,2143,437,20.391973868408773
Airtel,Haryana,2160,440,20.37037037037037
Airtel,Odisha,2210,450,20.361990950226243
Reliance Jio,Haryana,2156,439,20.36178107606679
Airtel,Sikkim,2156,438,20.31539888682746
Vodafone,Uttarakhand,2220,450,20.27027027027027
Airtel,Kerala,2197,445,20.254893035958126
Reliance Jio,Telangana,2230,451,20.22421524663677
Airtel,Madhya Pradesh,2230,451,20.22421524663677
Reliance Jio,Tamil Nadu,2138,432,20.205799812909262
Reliance Jio,Nagaland,2163,437,20.20342117429496
Vodafone,Kerala,2160,436,20.185185185185187
BSNL,Arunachal Pradesh,2215,447,20.18058690744921
BSNL,Chhattisgarh,2182,440,20.164986251145738
Airtel,Jharkhand,2149,433,20.14890646812471
Vodafone,Karnataka,2194,442,20.14585232452142
BSNL,West Bengal,2080,419,20.14423076923077
Vodafone,Meghalaya,2138,430,20.112254443405053
Reliance Jio,Sikkim,2159,434,20.101899027327466
BSNL,Assam,2150,431,20.046511627906977
Vodafone,Tripura,2154,431,20.00928505106778
Vodafone,Sikkim,2220,444,20.0
BSNL,Madhya Pradesh,2196,438,19.94535519125683
Reliance Jio,Maharashtra,2228,444,19.92818671454219
Airtel,Manipur,2206,439,19.900271985494108
Vodafone,Goa,2151,428,19.897721989772197
BSNL,Bihar,2081,414,19.894281595386833
BSNL,Sikkim,2154,428,19.87000928505107
BSNL,Tamil Nadu,2178,432,19.834710743801654
Reliance Jio,Goa,2229,442,19.829519964109465
Airtel,Tripura,2167,429,19.79695431472081
BSNL,Jharkhand,2228,441,19.793536804308797
Airtel,Chhattisgarh,2097,415,19.790176442536957
BSNL,Telangana,2183,432,19.789280806229957
Vodafone,West Bengal,2153,426,19.786344635392474
Vodafone,Arunachal Pradesh,2195,434,19.77220956719818
BSNL,Manipur,2177,430,19.751952227836473
Vodafone,Haryana,2289,452,19.746614242027086
BSNL,Andhra Pradesh,2163,427,19.741100323624597
Airtel,Gujarat,2143,423,19.738684087727485
Reliance Jio,Assam,2184,431,19.734432234432234
Vodafone,Assam,2100,414,19.714285714285715
BSNL,Haryana,2135,420,19.672131147540984
Vodafone,Odisha,2175,427,19.632183908045977
BSNL,Maharashtra,2188,429,19.606946983546617
Vodafone,Nagaland,2127,416,19.558062999529856
Vodafone,Andhra Pradesh,2158,422,19.555143651529193
Vodafone,Manipur,2138,418,19.550982226379794
Reliance Jio,Punjab,2140,418,19.53271028037383
Reliance Jio,Rajasthan,2162,422,19.518963922294173
Vodafone,Maharashtra,2202,429,19.482288828337875
BSNL,Goa,2139,416,19.448340345956055
Airtel,Uttar Pradesh,2180,423,19.40366972477064
Airtel,Telangana,2128,412,19.360902255639097
Reliance Jio,Mizoram,2193,424,19.33424532603739
Airtel,Andhra Pradesh,2150,415,19.302325581395348
Airtel,Meghalaya,2175,418,19.2183908045977
BSNL,Himachal Pradesh,2139,410,19.16783543712015
Reliance Jio,Meghalaya,2157,413,19.14696337505795
Vodafone,Tamil Nadu,2200,421,19.136363636363637
Reliance Jio,Arunachal Pradesh,2134,408,19.119025304592316
Airtel,Bihar,2191,418,19.078046554084892
Reliance Jio,Chhattisgarh,2250,429,19.066666666666666
Vodafone,Bihar,2200,419,19.045454545454547
BSNL,Kerala,2171,412,18.97742975587287
Vodafone,Punjab,2103,399,18.97289586305278
Reliance Jio,Himachal Pradesh,2177,413,18.971061093247588
Reliance Jio,West Bengal,2163,409,18.90892279241794
Vodafone,Gujarat,2119,400,18.876828692779615
Vodafone,Rajasthan,2168,409,18.865313653136532
Reliance Jio,Uttarakhand,2312,436,18.858131487889274
Reliance Jio,Madhya Pradesh,2255,425,18.8470066518847
Airtel,West Bengal,2176,409,18.795955882352942
Vodafone,Chhattisgarh,2148,402,18.71508379888268
Reliance Jio,Kerala,2197,411,18.707328174783797
BSNL,Punjab,2158,402,18.628359592215013
BSNL,Uttar Pradesh,2147,397,18.49091755938519
BSNL,Tripura,2178,382,17.53902662993572
