state,city,Total_Customers,Churned_Customers,Churn_Rate_Percentage
Jharkhand,Hyderabad,1494,342,22.89156626506024
Telangana,Chennai,1413,323,22.859164897381458
Mizoram,Mumbai,1466,331,22.57844474761255
Gujarat,Hyderabad,1469,330,22.4642614023145
Bihar,Mumbai,1444,322,22.299168975069254
Madhya Pradesh,Kolkata,1441,319,22.137404580152673
Himachal Pradesh,Chennai,1450,319,22.0
Rajasthan,Mumbai,1458,320,21.947873799725652
Himachal Pradesh,Hyderabad,1451,316,21.778084079944865
Haryana,Delhi,1421,308,21.67487684729064
Tamil Nadu,Hyderabad,1464,317,21.653005464480874
Arunachal Pradesh,Kolkata,1419,307,21.634954193093726
Manipur,Delhi,1466,317,21.623465211459756
Jharkhand,Mumbai,1413,305,21.585279547062985
Karnataka,Hyderabad,1464,314,21.44808743169399
Karnataka,Bangalore,1483,318,21.443020903573835
Uttar Pradesh,Mumbai,1473,315,21.384928716904277
Odisha,Kolkata,1436,307,21.37883008356546
Jharkhand,Chennai,1466,313,21.350613915416098
Nagaland,Kolkata,1504,321,21.34308510638298
Kerala,Bangalore,1422,303,21.30801687763713
Rajasthan,Kolkata,1472,313,21.26358695652174
Meghalaya,Hyderabad,1477,314,21.25930941096818
Assam,Delhi,1468,312,21.25340599455041
West Bengal,Hyderabad,1404,298,21.225071225071225
Tripura,Bangalore,1464,310,21.174863387978142
Nagaland,Mumbai,1436,304,21.16991643454039
Manipur,Bangalore,1452,307,21.143250688705233
Kerala,Chennai,1425,301,21.12280701754386
Manipur,Hyderabad,1513,318,21.017845340383346
Odisha,Mumbai,1452,305,21.005509641873278
Andhra Pradesh,Bangalore,1476,310,21.00271002710027
Karnataka,Chennai,1448,304,20.994475138121548
Telangana,Bangalore,1410,296,20.99290780141844
Mizoram,Kolkata,1477,310,20.98849018280298
Sikkim,Hyderabad,1439,302,20.98679638637943
Haryana,Hyderabad,1401,294,20.985010706638114
Tamil Nadu,Kolkata,1463,307,20.984278879015722
Gujarat,Delhi,1399,293,20.943531093638313
Goa,Kolkata,1436,300,20.891364902506965
Uttarakhand,Kolkata,1480,309,20.87837837837838
Assam,Kolkata,1433,299,20.865317515701324
Himachal Pradesh,Mumbai,1434,299,20.850767085076708
