Age_Group,num_dependents,Total_Customers,Churned_Customers,Churn_Rate
45-54,0,8676,1798,20.723835869064086
35-44,1,8562,1761,20.567624386825507
55-64,1,8606,1768,20.54380664652568
55-64,4,8583,1760,20.50565070488174
65+,1,8656,1774,20.494454713493532
35-44,2,8696,1781,20.48068077276909
Under 25,0,6036,1233,20.427435387673956
25-34,0,8551,1742,20.37188632908432
35-44,0,8529,1725,20.225114315863525
65+,2,8566,1732,20.219472332477235
Under 25,4,5958,1196,20.073850285330646
25-34,1,8469,1699,20.061400401464162
65+,4,8462,1693,20.007090522335144
35-44,4,8458,1692,20.00472925041381
65+,0,8584,1716,19.99068033550792
45-54,2,8496,1696,19.962335216572505
35-44,3,8465,1689,19.95274660366214
25-34,4,8565,1707,19.929947460595447
Under 25,1,5952,1183,19.875672043010752
25-34,3,8290,1644,19.83112183353438
45-54,3,8590,1702,19.813736903376018
Under 25,3,5942,1177,19.808145405587343
25-34,2,8380,1659,19.797136038186157
45-54,4,8600,1701,19.77906976744186
Under 25,2,5986,1183,19.762779819579016
55-64,3,8730,1722,19.725085910652922
55-64,0,8551,1686,19.716992164659104
65+,3,8677,1710,19.707272098651607
55-64,2,8481,1668,19.667492041032897
45-54,1,8456,1630,19.276253547776726
