telecom_partner,state,Age_Group,Total_Customer
Reliance Jio,Chhattisgarh,35-44,433
Reliance Jio,Maharashtra,35-44,432
Reliance Jio,Uttarakhand,45-54,431
Reliance Jio,Bihar,25-34,430
Reliance Jio,Madhya Pradesh,65+,430
Airtel,Punjab,55-64,427
Reliance Jio,Kerala,25-34,426
Reliance Jio,Uttarakhand,65+,425
BSNL,Nagaland,45-54,425
Vodafone,Haryana,25-34,424
Vodafone,Haryana,35-44,423
Airtel,Bihar,45-54,421
Reliance Jio,Karnataka,35-44,421
Airtel,Kerala,35-44,419
BSNL,Himachal Pradesh,35-44,418
Reliance Jio,Haryana,35-44,418
BSNL,Meghalaya,55-64,417
Reliance Jio,Karnataka,65+,417
Vodafone,Maharashtra,45-54,417
Vodafone,Jharkhand,45-54,417
Reliance Jio,Tripura,65+,416
BSNL,Jharkhand,65+,416
Airtel,Arunachal Pradesh,35-44,416
Vodafone,Uttar Pradesh,45-54,415
BSNL,Chhattisgarh,55-64,415
Vodafone,Odisha,35-44,414
Vodafone,Sikkim,35-44,414
Vodafone,Maharashtra,35-44,414
Airtel,West Bengal,65+,414
BSNL,Meghalaya,45-54,414
Airtel,Arunachal Pradesh,45-54,413
Reliance Jio,Goa,25-34,413
Airtel,Karnataka,65+,413
Reliance Jio,Telangana,45-54,413
Vodafone,Rajasthan,55-64,413
BSNL,Madhya Pradesh,65+,412
Airtel,Tripura,65+,412
Airtel,Rajasthan,45-54,411
Reliance Jio,West Bengal,55-64,411
Airtel,Odisha,65+,411
Vodafone,Karnataka,45-54,411
Vodafone,Andhra Pradesh,55-64,411
Vodafone,Assam,35-44,411
Airtel,Rajasthan,55-64,410
Reliance Jio,Assam,25-34,410
Reliance Jio,Andhra Pradesh,55-64,409
Airtel,Gujarat,55-64,409
Airtel,Tamil Nadu,55-64,409
Reliance Jio,Andhra Pradesh,65+,409
Airtel,Himachal Pradesh,45-54,408
BSNL,Rajasthan,45-54,408
Reliance Jio,Maharashtra,45-54,407
BSNL,Meghalaya,35-44,407
Airtel,Haryana,55-64,407
Airtel,Karnataka,35-44,407
Airtel,Uttar Pradesh,35-44,407
