state,Total_Customers,Churned_Customers,Churn Rate
Jharkhand,8755,1849,21.119360365505425
Karnataka,8845,1832,20.712266817410967
Mizoram,8689,1794,20.646794798020487
Uttarakhand,8856,1808,20.41553748870822
Himachal Pradesh,8682,1772,20.410043768716886
Madhya Pradesh,8817,1797,20.381082000680504
Assam,8547,1735,20.2995202995203
Odisha,8712,1764,20.24793388429752
Nagaland,8562,1732,20.228918476991357
Rajasthan,8750,1769,20.217142857142857
Manipur,8651,1740,20.113281701537396
Telangana,8689,1747,20.105880998964206
Uttar Pradesh,8742,1755,20.075497597803707
Sikkim,8689,1744,20.071354586258487
Haryana,8740,1751,20.034324942791763
Gujarat,8610,1724,20.02322880371661
Goa,8694,1735,19.95629169542213
Tamil Nadu,8718,1738,19.9357650837348
Maharashtra,8820,1756,19.909297052154194
Arunachal Pradesh,8757,1742,19.892657302729244
Andhra Pradesh,8649,1717,19.852006012255753
Meghalaya,8684,1715,19.74896361123906
Bihar,8633,1695,19.633962701262597
Kerala,8725,1704,19.530085959885387
Tripura,8660,1687,19.480369515011546
Chhattisgarh,8677,1686,19.430678806038955
Punjab,8628,1676,19.42512749188688
West Bengal,8572,1663,19.400373308446103
