city,telecom_partner,Total_Customers,Churned_Customers,Churn_Rate
Hyderabad,Airtel,10227,2184,21.35523613963039
Hyderabad,Vodafone,10125,2090,20.641975308641975
Bangalore,BSNL,10210,2103,20.59745347698335
Delhi,Airtel,10057,2066,20.542905438997714
Mumbai,Airtel,10073,2060,20.450709818326217
Kolkata,Reliance Jio,10169,2078,20.434654341626512
Mumbai,Vodafone,10216,2073,20.29169929522318
Kolkata,Airtel,10141,2055,20.2642737402623
Mumbai,Reliance Jio,10031,2031,20.247233575914663
Kolkata,BSNL,10186,2042,20.047123502847047
Bangalore,Vodafone,10038,2010,20.02390914524806
Delhi,Reliance Jio,10100,2011,19.91089108910891
Kolkata,Vodafone,10165,2021,19.88194786030497
Chennai,Airtel,10378,2063,19.878589323569088
Bangalore,Reliance Jio,10326,2052,19.872167344567114
Hyderabad,BSNL,10122,2008,19.837976684449714
Hyderabad,Reliance Jio,10224,2027,19.82589984350548
Chennai,BSNL,10063,1994,19.815164463877572
Chennai,Reliance Jio,10273,2035,19.80920860508128
Bangalore,Airtel,10029,1976,19.702861701066904
Mumbai,BSNL,10066,1977,19.64037353467117
Chennai,Vodafone,10035,1958,19.511709018435475
Delhi,Vodafone,10223,1977,19.338745964980927
Delhi,BSNL,10076,1936,19.213973799126638
