Age_Group,Salary_Group,Total_Customers,Churned_Customers,Churn_Rate
Under 25,Low Salary,6763,1396,20.641727044211148
35-44,Low Salary,9822,2024,20.606801058847484
25-34,Medium Salary,16309,3341,20.485621436016924
65+,Low Salary,10020,2052,20.479041916167663
55-64,Medium Salary,16532,3368,20.372610694410838
45-54,Low Salary,9845,1990,20.2133062468258
35-44,Medium Salary,16464,3321,20.17128279883382
65+,Medium Salary,16451,3309,20.11427876724819
35-44,High Salary,16424,3303,20.110813443740867
Under 25,Medium Salary,11472,2295,20.005230125523013
55-64,High Salary,16492,3299,20.003638127577005
45-54,Medium Salary,16502,3290,19.936977336080474
25-34,High Salary,16194,3210,19.822156354205262
65+,High Salary,16474,3264,19.81303872769212
45-54,High Salary,16471,3247,19.71343573553518
Under 25,High Salary,11639,2281,19.597903599965633
55-64,Low Salary,9927,1937,19.51244081797119
25-34,Low Salary,9752,1900,19.48318293683347
