date_of_registration,Total_Customers
2020-01-01,200
2020-01-02,200
2020-01-03,200
2020-01-04,200
2020-01-05,199
2020-01-06,200
2020-01-07,200
2020-01-08,200
2020-01-09,200
2020-01-10,199
2020-01-11,200
2020-01-12,200
2020-01-13,200
2020-01-14,200
2020-01-15,199
2020-01-16,200
2020-01-17,200
2020-01-18,200
2020-01-19,200
2020-01-20,199
2020-01-21,200
2020-01-22,200
2020-01-23,200
2020-01-24,200
2020-01-25,199
2020-01-26,200
2020-01-27,200
2020-01-28,200
2020-01-29,200
2020-01-30,199
2020-01-31,200
2020-02-01,200
2020-02-02,200
2020-02-03,200
2020-02-04,199
2020-02-05,200
2020-02-06,200
2020-02-07,200
2020-02-08,200
2020-02-09,199
2020-02-10,200
2020-02-11,200
2020-02-12,200
2020-02-13,200
2020-02-14,199
2020-02-15,200
2020-02-16,200
2020-02-17,200
2020-02-18,200
2020-02-19,199
2020-02-20,200
2020-02-21,200
2020-02-22,200
2020-02-23,200
2020-02-24,199
2020-02-25,200
2020-02-26,200
2020-02-27,200
2020-02-28,199
2020-02-29,200
2020-03-01,200
2020-03-02,200
2020-03-03,200
2020-03-04,199
2020-03-05,200
2020-03-06,200
2020-03-07,200
2020-03-08,200
2020-03-09,199
2020-03-10,200
2020-03-11,200
2020-03-12,200
2020-03-13,200
2020-03-14,199
2020-03-15,200
2020-03-16,200
2020-03-17,200
2020-03-18,200
2020-03-19,199
2020-03-20,200
2020-03-21,200
2020-03-22,200
2020-03-23,200
2020-03-24,199
2020-03-25,200
2020-03-26,200
2020-03-27,200
2020-03-28,200
2020-03-29,199
2020-03-30,200
2020-03-31,200
2020-04-01,200
2020-04-02,200
2020-04-03,199
2020-04-04,200
2020-04-05,200
2020-04-06,200
2020-04-07,200
2020-04-08,199
2020-04-09,200
2020-04-10,200
2020-04-11,200
2020-04-12,200
2020-04-13,199
2020-04-14,200
2020-04-15,200
2020-04-16,200
2020-04-17,200
2020-04-18,199
2020-04-19,200
2020-04-20,200
2020-04-21,200
2020-04-22,200
2020-04-23,199
2020-04-24,200
2020-04-25,200
2020-04-26,200
2020-04-27,199
2020-04-28,200
2020-04-29,200
2020-04-30,200
2020-05-01,200
2020-05-02,199
2020-05-03,200
2020-05-04,200
2020-05-05,200
2020-05-06,200
2020-05-07,199
2020-05-08,200
2020-05-09,200
2020-05-10,200
2020-05-11,200
2020-05-12,199
2020-05-13,200
2020-05-14,200
2020-05-15,200
2020-05-16,200
2020-05-17,199
2020-05-18,200
2020-05-19,200
2020-05-20,200
2020-05-21,200
2020-05-22,199
2020-05-23,200
2020-05-24,200
2020-05-25,200
2020-05-26,200
2020-05-27,199
2020-05-28,200
2020-05-29,200
2020-05-30,200
2020-05-31,200
2020-06-01,199
2020-06-02,200
2020-06-03,200
2020-06-04,200
2020-06-05,200
2020-06-06,199
2020-06-07,200
2020-06-08,200
2020-06-09,200
2020-06-10,200
2020-06-11,199
2020-06-12,200
2020-06-13,200
