pincode,total_customers
110506,5
618322,5
800133,5
343690,5
980827,5
487761,5
315214,5
608958,5
950953,5
194844,5
704548,5
592644,5
334080,4
825455,4
868457,4
421455,4
921024,4
830440,4
760665,4
995613,4
209735,4
693491,4
957775,4
378041,4
140556,4
217227,4
234722,4
414331,4
223212,4
982788,4
440709,4
746373,4
933212,4
467473,4
915905,4
381472,4
906447,4
972663,4
379203,4
490400,4
279573,4
743133,4
661155,4
169325,4
388391,4
541623,4
879747,4
663849,4
413886,4
458426,4
373551,4
532056,4
451998,4
558009,4
971187,4
128456,4
341063,4
247913,4
980885,4
734610,4
293332,4
621730,4
563767,4
653120,4
573327,4
332950,4
346404,4
693916,4
968608,4
652900,4
632246,4
472472,4
819367,4
647119,4
207425,4
632732,4
924582,4
179493,4
721586,4
547855,4
473072,4
721505,4
398187,4
175002,4
355158,4
667727,4
202641,4
842611,4
593627,4
200538,4
207824,4
662599,4
583835,4
970688,4
635547,4
895391,4
517640,4
219417,4
430145,4
992207,4
859603,4
686956,4
941633,4
265040,4
871900,4
982125,4
784802,4
183091,4
233437,4
768474,4
164755,4
448484,4
401270,4
496892,4
205359,4
168541,4
697503,4
623877,4
139872,4
351513,4
785591,4
534330,4
198485,4
255059,4
498721,4
678124,4
878965,4
568197,4
846943,4
521765,4
954893,4
941244,4
878403,4
121609,4
992102,4
827361,4
308467,4
279957,4
110638,4
735528,4
890746,4
981917,4
379092,4
325610,4
357249,4
170739,4
440953,4
831507,4
162766,4
535528,4
287148,4
195247,4
840458,4
852128,4
362422,4
367479,4
329690,4
184147,4
763891,4
656742,4
761157,4
791324,4
364082,4
276210,4
415149,4
236770,4
468846,4
952194,4
106049,4
546276,4
663149,4
755246,4
937768,3
124765,3
630874,3
936602,3
372946,3
341261,3
810260,3
372549,3
463209,3
937030,3
843941,3
304988,3
372718,3
936721,3
438636,3
257782,3
257284,3
304785,3
672486,3
936631,3
532054,3
630686,3
257342,3
463187,3
255417,3
533766,3
737342,3
437658,3
939938,3
939917,3
628451,3
630963,3
437812,3
628697,3
255892,3
705077,3
939564,3
255955,3
255966,3
305340,3
114853,3
534306,3
254982,3
255013,3
884508,3
255045,3
181296,3
940481,3
255125,3
673053,3
375107,3
533952,3
940360,3
463749,3
737468,3
884618,3
374722,3
628342,3
534053,3
629419,3
305055,3
809645,3
938320,3
532396,3
124856,3
885479,3
938108,3
808845,3
938050,3
190478,3
809763,3
256817,3
885558,3
532279,3
672590,3
257083,3
438354,3
107703,3
705222,3
134501,3
374057,3
736675,3
736624,3
134530,3
493195,3
256429,3
844575,3
438106,3
305155,3
736350,3
938645,3
463522,3
107768,3
629415,3
809228,3
933022,3
262063,3
633675,3
932834,3
528645,3
932781,3
528644,3
462130,3
375182,3
634002,3
495488,3
813473,3
302453,3
888717,3
888766,3
302409,3
262522,3
732598,3
633914,3
706286,3
733364,3
261067,3
812762,3
529153,3
706360,3
147477,3
462288,3
733185,3
813162,3
812884,3
670425,3
733155,3
733122,3
370429,3
261787,3
733018,3
261832,3
813151,3
261638,3
190830,3
263212,3
669871,3
441898,3
124175,3
635644,3
814655,3
301880,3
889689,3
706751,3
263544,3
635833,3
182053,3
114318,3
369109,3
190836,3
930996,3
301859,3
814826,3
931203,3
369813,3
634300,3
813834,3
706808,3
888891,3
169689,3
814165,3
114384,3
262854,3
137859,3
528101,3
670042,3
707273,3
889276,3
841628,3
441702,3
889316,3
263023,3
635233,3
931683,3
372143,3
631511,3
671783,3
734781,3
258711,3
439345,3
530969,3
462763,3
494256,3
108449,3
439538,3
811248,3
147751,3
530781,3
935560,3
530735,3
259193,3
935483,3
181663,3
439449,3
810586,3
672027,3
886631,3
843895,3
631080,3
735149,3
735100,3
147861,3
124680,3
531056,3
936189,3
304475,3
631258,3
705590,3
258505,3
936123,3
531169,3
936098,3
631417,3
341497,3
705971,3
529971,3
812237,3
706167,3
260426,3
812269,3
812279,3
147597,3
733783,3
259342,3
812371,3
934179,3
260761,3
147557,3
495027,3
888024,3
812466,3
733646,3
462437,3
462455,3
303899,3
811469,3
303879,3
530547,3
259641,3
259735,3
341909,3
632240,3
137993,3
733869,3
259948,3
303764,3
439870,3
142761,3
185470,3
934808,3
530144,3
671258,3
842630,3
259858,3
380945,3
489756,3
620200,3
742700,3
620251,3
620417,3
541593,3
159139,3
432576,3
673521,3
676320,3
742451,3
880256,3
380744,3
246657,3
338203,3
801779,3
541332,3
948838,3
489848,3
702525,3
743213,3
466100,3
432325,3
245462,3
290297,3
542222,3
159069,3
619627,3
676502,3
245664,3
848188,3
848182,3
742962,3
619687,3
801205,3
702820,3
115394,3
381001,3
619634,3
338461,3
247516,3
433108,3
703218,3
947629,3
180723,3
802414,3
847419,3
741900,3
880292,3
159275,3
703266,3
309292,3
947239,3
465899,3
142163,3
741559,3
309175,3
248119,3
247809,3
801816,3
125898,3
173579,3
847834,3
247123,3
380394,3
380385,3
465978,3
703009,3
880563,3
948271,3
247261,3
247282,3
802155,3
247296,3
541063,3
380145,3
180698,3
540980,3
433027,3
173563,3
243138,3
744404,3
878966,3
243260,3
878975,3
466804,3
799492,3
953246,3
544366,3
676966,3
744344,3
544236,3
544166,3
243558,3
744231,3
744174,3
310990,3
382561,3
243812,3
149633,3
616938,3
954153,3
954105,3
799078,3
466823,3
311238,3
242902,3
138537,3
242929,3
799414,3
431011,3
431039,3
337058,3
126229,3
149715,3
382916,3
617219,3
953663,3
126225,3
617105,3
951697,3
800356,3
543107,3
800418,3
702393,3
618706,3
951398,3
618712,3
166017,3
617926,3
149424,3
702452,3
743481,3
618941,3
619011,3
848380,3
542829,3
432103,3
381543,3
431948,3
543872,3
431385,3
702280,3
799928,3
677562,3
952483,3
743938,3
677520,3
543555,3
677240,3
677490,3
800148,3
743883,3
677426,3
618372,3
677367,3
743697,3
106082,3
198143,3
381985,3
543547,3
943289,3
806297,3
252290,3
252299,3
252574,3
673887,3
377028,3
943103,3
738841,3
741453,3
536228,3
943031,3
252732,3
626010,3
806695,3
376788,3
942743,3
306770,3
464427,3
673878,3
805794,3
435299,3
625228,3
805817,3
883029,3
435331,3
883138,3
491794,3
115043,3
377124,3
805983,3
806005,3
883213,3
536751,3
165711,3
674021,3
704454,3
252151,3
806163,3
251816,3
807962,3
807971,3
673274,3
463854,3
941510,3
845271,3
534663,3
340333,3
196825,3
942571,3
737607,3
941163,3
534515,3
627390,3
627453,3
134396,3
940857,3
884494,3
534314,3
375422,3
626211,3
807037,3
535730,3
253078,3
442071,3
125216,3
436062,3
942205,3
376448,3
436719,3
807329,3
436161,3
738285,3
125185,3
807527,3
492225,3
185657,3
492443,3
436682,3
165592,3
883856,3
946389,3
946380,3
338758,3
490585,3
881501,3
197513,3
740663,3
173423,3
804073,3
944118,3
623629,3
490677,3
804307,3
675176,3
945581,3
623715,3
249358,3
623736,3
378797,3
538980,3
802771,3
248210,3
490391,3
741359,3
741314,3
946890,3
741282,3
309039,3
248411,3
946449,3
539802,3
622709,3
803430,3
803586,3
308933,3
148883,3
847052,3
490471,3
433662,3
881094,3
197305,3
624756,3
142326,3
739566,3
377925,3
491498,3
491535,3
165760,3
704076,3
249451,3
251073,3
625006,3
944277,3
944275,3
537333,3
625064,3
435246,3
805769,3
251504,3
739337,3
740101,3
538489,3
624096,3
881740,3
674989,3
674978,3
804786,3
624169,3
624299,3
944669,3
703902,3
624374,3
805106,3
805230,3
624500,3
434629,3
339262,3
491307,3
624684,3
465123,3
944986,3
348942,3
357962,3
911748,3
835914,3
450753,3
136349,3
162929,3
711957,3
501995,3
928641,3
911309,3
458087,3
898137,3
502096,3
191866,3
502146,3
281434,3
451386,3
451418,3
357564,3
294670,3
111198,3
663587,3
294618,3
663496,3
294597,3
720343,3
294592,3
294588,3
650326,3
720333,3
280291,3
450415,3
294552,3
827167,3
193432,3
650258,3
294511,3
358171,3
912191,3
718579,3
898691,3
718535,3
828563,3
171029,3
282677,3
909545,3
662481,3
282756,3
357191,3
511502,3
457818,3
349712,3
355842,3
828838,3
145015,3
355796,3
653277,3
835416,3
452209,3
357183,3
113052,3
502155,3
828155,3
281650,3
357075,3
512451,3
502243,3
356929,3
451687,3
662924,3
910506,3
652125,3
910451,3
183754,3
512185,3
718762,3
451557,3
662685,3
356501,3
910541,3
145660,3
721850,3
110851,3
915310,3
915296,3
721820,3
295283,3
721794,3
137386,3
193497,3
825824,3
501131,3
721736,3
836663,3
348037,3
359798,3
359773,3
664068,3
278472,3
721775,3
722358,3
360379,3
896184,3
276800,3
360360,3
276853,3
162467,3
516549,3
347906,3
295300,3
711201,3
722058,3
277337,3
277390,3
360128,3
722019,3
647444,3
347996,3
162525,3
647489,3
360176,3
663978,3
515004,3
711410,3
663887,3
294898,3
514853,3
359137,3
514645,3
649424,3
110941,3
113200,3
711505,3
113188,3
450024,3
649594,3
279818,3
649602,3
450032,3
122647,3
358914,3
914702,3
826023,3
896678,3
348090,3
515591,3
648242,3
515562,3
914505,3
143721,3
359390,3
648400,3
896886,3
896994,3
278877,3
449477,3
278916,3
897048,3
648803,3
183444,3
913771,3
515427,3
657337,3
507385,3
834033,3
507332,3
287978,3
713858,3
504604,3
507296,3
288195,3
653382,3
353125,3
904161,3
657874,3
506901,3
506875,3
506779,3
658164,3
832034,3
454610,3
504669,3
905731,3
184159,3
715832,3
507822,3
286953,3
656602,3
660898,3
656717,3
287232,3
163626,3
507612,3
905010,3
353286,3
504449,3
834065,3
287629,3
144554,3
287706,3
900613,3
507635,3
832791,3
289556,3
289572,3
901303,3
832895,3
659194,3
163782,3
714122,3
289759,3
833696,3
455492,3
289853,3
289913,3
455586,3
351388,3
505632,3
290350,3
714340,3
901665,3
112512,3
352800,3
456022,3
352733,3
288562,3
715153,3
288572,3
903481,3
715009,3
351078,3
714690,3
351163,3
833565,3
192487,3
163739,3
714827,3
660229,3
352246,3
289227,3
455118,3
289270,3
506438,3
908195,3
111796,3
144903,3
284059,3
170935,3
457152,3
503346,3
457061,3
907910,3
454050,3
907777,3
503500,3
144880,3
183972,3
350115,3
899526,3
509744,3
907380,3
453221,3
654718,3
111679,3
717937,3
653467,3
829051,3
717851,3
511235,3
457648,3
717794,3
835280,3
717528,3
452440,3
510801,3
112928,3
829373,3
355369,3
712796,3
712846,3
452715,3
908303,3
510319,3
511138,3
353917,3
508459,3
192793,3
286059,3
144736,3
353852,3
508384,3
906279,3
137113,3
350215,3
834243,3
453941,3
656160,3
831057,3
184123,3
508098,3
661001,3
660999,3
905776,3
353740,3
661578,3
661562,3
291933,3
661477,3
834334,3
503829,3
354227,3
906904,3
716465,3
121984,3
285523,3
834295,3
285534,3
503998,3
285602,3
354025,3
899990,3
716380,3
655906,3
453686,3
354092,3
926163,3
926125,3
143169,3
818480,3
818484,3
523696,3
728739,3
925869,3
639941,3
183266,3
839913,3
839912,3
818715,3
460581,3
818851,3
299480,3
299478,3
366026,3
640362,3
640002,3
926688,3
366927,3
524348,3
668738,3
300303,3
267530,3
267562,3
135321,3
182428,3
366440,3
729481,3
708303,3
926366,3
344733,3
146799,3
300018,3
926231,3
344816,3
268232,3
668533,3
819222,3
522863,3
892619,3
522728,3
498171,3
892739,3
365334,3
522393,3
924328,3
366020,3
892851,3
727210,3
113785,3
498462,3
298774,3
445649,3
641508,3
445671,3
521997,3
892785,3
640408,3
269196,3
269221,3
498023,3
667848,3
839719,3
728352,3
269341,3
925148,3
892576,3
269391,3
269431,3
523189,3
523073,3
728238,3
269616,3
819168,3
460340,3
345288,3
345307,3
269379,3
669595,3
669572,3
526342,3
929656,3
496610,3
730992,3
730948,3
368297,3
265069,3
267374,3
637178,3
190933,3
929009,3
816441,3
120537,3
461374,3
669193,3
525786,3
265359,3
195345,3
527170,3
889764,3
142962,3
368917,3
841421,3
343285,3
442317,3
182111,3
815406,3
526620,3
669627,3
526707,3
161039,3
195459,3
264416,3
815489,3
636624,3
526671,3
264507,3
636714,3
841277,3
443531,3
638371,3
927464,3
443532,3
817575,3
729963,3
638494,3
638519,3
172098,3
343868,3
300466,3
367035,3
668884,3
638740,3
891363,3
267223,3
638763,3
185216,3
729671,3
146908,3
637431,3
816761,3
367937,3
849123,3
928580,3
185255,3
890741,3
109086,3
443110,3
891082,3
637750,3
195267,3
817022,3
928196,3
300858,3
707976,3
265998,3
730177,3
344232,3
840415,3
816961,3
724142,3
184906,3
822999,3
919483,3
500228,3
710206,3
723877,3
645159,3
274866,3
113765,3
448089,3
110384,3
823355,3
275071,3
500322,3
665435,3
918907,3
823430,3
918799,3
665506,3
499734,3
822315,3
297346,3
920546,3
519688,3
644254,3
519665,3
274295,3
346783,3
710010,3
519527,3
447790,3
822487,3
665718,3
822548,3
447862,3
644629,3
499919,3
519296,3
274339,3
448451,3
113407,3
917600,3
517450,3
459079,3
824064,3
500484,3
837474,3
664830,3
275245,3
360719,3
722877,3
458969,3
710729,3
824414,3
122885,3
646677,3
347782,3
276530,3
710623,3
122997,3
518159,3
918554,3
723519,3
837756,3
918414,3
918367,3
895240,3
645624,3
917640,3
918162,3
517837,3
517835,3
645729,3
665205,3
275754,3
665001,3
500372,3
917719,3
823976,3
137469,3
893353,3
498747,3
271661,3
120784,3
271759,3
521330,3
298149,3
459810,3
893614,3
920599,3
161884,3
922517,3
272091,3
922419,3
520800,3
725776,3
194463,3
272258,3
922325,3
459756,3
667162,3
667140,3
893059,3
923920,3
893113,3
298619,3
521803,3
709065,3
271098,3
271565,3
641870,3
194609,3
923495,3
171772,3
726445,3
642016,3
923205,3
298483,3
446098,3
820225,3
923711,3
273284,3
724865,3
724774,3
666057,3
499577,3
499604,3
838415,3
447366,3
643845,3
709489,3
821958,3
519857,3
822055,3
447418,3
447436,3
665800,3
273960,3
273968,3
135793,3
920981,3
922156,3
642902,3
446566,3
922098,3
520640,3
520540,3
821368,3
725522,3
666202,3
838523,3
894073,3
666169,3
520272,3
643403,3
821593,3
297717,3
725093,3
838545,3
273161,3
273171,3
709754,3
855808,3
759075,3
759056,3
685862,3
399067,3
982168,3
867256,3
982085,3
201643,3
870853,3
981810,3
564405,3
685723,3
867390,3
782235,3
758693,3
152506,3
398760,3
320537,3
981956,3
320970,3
866981,3
417543,3
417551,3
320928,3
759465,3
855834,3
781478,3
781499,3
685893,3
219513,3
867093,3
330723,3
