telecom_partner,Age_Group,Data_Usage_Group,Total_Customers,Churned_Customers,Churn_Rate
Airtel,35-44,Medium Data Usage,4278,949,22.183263207106123
BSNL,45-54,High Data Usage,3140,684,21.78343949044586
Reliance Jio,Under 25,High Data Usage,2192,474,21.624087591240876
Vodafone,25-34,Medium Data Usage,4225,905,21.420118343195266
Airtel,55-64,Low Data Usage,3235,689,21.298299845440493
Airtel,35-44,Low Data Usage,3164,672,21.238938053097346
Vodafone,Under 25,High Data Usage,2256,479,21.2322695035461
BSNL,65+,Medium Data Usage,4258,895,21.01925786754345
Reliance Jio,55-64,Medium Data Usage,4269,897,21.01194659170766
Airtel,55-64,Medium Data Usage,4349,912,20.97033800873764
Vodafone,Under 25,Medium Data Usage,2977,624,20.96069868995633
Vodafone,65+,Medium Data Usage,4339,909,20.949527540908043
Airtel,Under 25,Medium Data Usage,2970,622,20.94276094276094
Airtel,65+,Low Data Usage,3197,666,20.83203002815139
Vodafone,25-34,High Data Usage,3113,644,20.687439768711855
BSNL,65+,High Data Usage,3250,671,20.646153846153847
Airtel,25-34,Medium Data Usage,4220,866,20.52132701421801
Reliance Jio,25-34,Medium Data Usage,4316,883,20.45875810936052
Airtel,35-44,High Data Usage,3205,655,20.43681747269891
BSNL,45-54,Low Data Usage,3363,685,20.368718406184954
Vodafone,55-64,Low Data Usage,3249,661,20.344721452754694
Reliance Jio,45-54,High Data Usage,3231,657,20.33426183844011
BSNL,Under 25,Medium Data Usage,2868,583,20.327754532775455
BSNL,35-44,Medium Data Usage,4276,869,20.32273152478952
Airtel,45-54,Medium Data Usage,4225,858,20.307692307692307
Reliance Jio,55-64,High Data Usage,3185,646,20.282574568288855
Reliance Jio,35-44,Medium Data Usage,4340,879,20.253456221198157
Airtel,25-34,High Data Usage,3138,635,20.235818992989167
Reliance Jio,25-34,High Data Usage,3261,659,20.20852499233364
BSNL,65+,Low Data Usage,3216,649,20.180348258706466
Reliance Jio,35-44,Low Data Usage,3299,665,20.15762352227948
Airtel,25-34,Low Data Usage,3082,621,20.149253731343283
BSNL,25-34,Low Data Usage,3118,628,20.141116100064142
Reliance Jio,45-54,Medium Data Usage,4181,842,20.138722793590052
Vodafone,55-64,High Data Usage,3257,651,19.98771875959472
Reliance Jio,65+,Medium Data Usage,4268,853,19.985941893158387
BSNL,35-44,Low Data Usage,3169,633,19.974755443357527
Vodafone,35-44,High Data Usage,3124,622,19.910371318822023
Reliance Jio,55-64,Low Data Usage,3220,641,19.906832298136646
Vodafone,55-64,Medium Data Usage,4232,841,19.872400756143666
Reliance Jio,45-54,Low Data Usage,3247,645,19.864490298737294
Airtel,65+,Medium Data Usage,4327,858,19.82898081811879
BSNL,Under 25,Low Data Usage,2214,438,19.78319783197832
Vodafone,35-44,Low Data Usage,3192,631,19.76817042606516
Airtel,65+,High Data Usage,3231,638,19.746208604147323
Airtel,45-54,High Data Usage,3242,639,19.71005552128316
Vodafone,35-44,Medium Data Usage,4394,864,19.663177059626765
Reliance Jio,65+,High Data Usage,3281,642,19.567205120390124
BSNL,35-44,High Data Usage,3207,627,19.550982226379794
Vodafone,65+,High Data Usage,3138,613,19.534735500318675
Airtel,Under 25,High Data Usage,2265,442,19.514348785871963
Vodafone,45-54,Low Data Usage,3203,625,19.512956603184513
Vodafone,45-54,Medium Data Usage,4316,842,19.508804448563485
Reliance Jio,25-34,Low Data Usage,3213,625,19.452225334578277
Airtel,Under 25,Low Data Usage,2313,449,19.412019022913963
Vodafone,45-54,High Data Usage,3212,623,19.39601494396015
Reliance Jio,65+,Low Data Usage,3268,633,19.369645042839657
BSNL,55-64,Medium Data Usage,4195,810,19.30870083432658
Airtel,45-54,Low Data Usage,3242,624,19.247378161628625
Reliance Jio,Under 25,Medium Data Usage,3026,580,19.167217448777265
BSNL,55-64,High Data Usage,3277,628,19.16386939273726
BSNL,25-34,Medium Data Usage,4209,806,19.14944167260632
BSNL,45-54,Medium Data Usage,4216,803,19.046489563567363
Reliance Jio,Under 25,Low Data Usage,2264,431,19.037102473498233
Reliance Jio,35-44,High Data Usage,3062,582,19.007184846505552
BSNL,55-64,Low Data Usage,3261,619,18.981907390371052
Airtel,55-64,High Data Usage,3222,609,18.901303538175046
BSNL,25-34,High Data Usage,3197,603,18.86143259305599
Vodafone,65+,Low Data Usage,3172,598,18.852459016393443
Vodafone,Under 25,Low Data Usage,2240,421,18.794642857142858
BSNL,Under 25,High Data Usage,2289,429,18.74180865006553
Vodafone,25-34,Low Data Usage,3163,576,18.2105595953209
